model,layer,q,seed,long_only,short_only,parts,full,cross
ax_fixed,2,0.75,1,3.4180486049782437,-0.049062898636056694,3.368985706342187,8.497694043764099,0.6035411855273296
ax_fixed,2,0.75,2,4.351879109017759,-0.047427468681524,4.304451640336235,9.879632355346217,0.5643105446118201
ax_fixed,2,0.75,3,3.614300199522456,0.06868805809047747,3.6829882576129336,10.53543976711478,0.6504191244954978
ax_fixed,2,0.75,4,2.6281359369378188,0.21914761390769874,2.8472835508455177,8.209858371765932,0.6531872509960157
ax_fixed,3,0.25,0,0.19788702449874052,0.5511398946783052,0.7490269191770457,1.2494684852647708,0.40052356020942637
ax_fixed,3,0.25,1,0.11775095672651521,0.5952965034507495,0.7130474601772647,1.34759428253687,0.47087378640777533
ax_fixed,3,0.25,2,0.2207830438622267,0.6852451509501805,0.9060281948124072,1.2249370359467424,0.2603471295060106
ax_fixed,3,0.25,3,0.13246982631734264,0.5266084453602863,0.6590782716776289,1.1202695188565126,0.4116788321167868
ax_fixed,3,0.25,4,0.13737611618094073,0.47754554672422955,0.6149216629051703,1.4915121185359606,0.5877192982456183
ax_fixed,3,0.5,0,0.3467111503614291,0.34671115036142436,0.6934223007228535,1.2494684852647708,0.44502617801047406
ax_fixed,3,0.5,1,0.37124259967944795,0.12102181663558535,0.4922644163150333,1.34759428253687,0.634708737864087
ax_fixed,3,0.5,2,0.46446210708794905,0.17335557518071218,0.6378176822686612,1.2249370359467424,0.4793057409879865
ax_fixed,3,0.5,3,0.225689333725839,0.24694992313479722,0.47263925686063624,1.1202695188565126,0.5781021897810171
ax_fixed,3,0.5,4,0.3401694305432888,0.23223105354397452,0.5724004840872633,1.4915121185359606,0.6162280701754401
ax_fixed,3,0.75,0,0.7343080495862372,-0.019625159454425518,0.7146828901318116,1.2494684852647708,0.42801047120418934
ax_fixed,3,0.75,1,0.8471527164491448,0.08994864749941674,0.9371013639485616,1.34759428253687,0.3046116504854476
ax_fixed,3,0.75,2,0.7931835279494948,0.02780230922709374,0.8209858371765885,1.2249370359467424,0.3297730307076101
ax_fixed,3,0.75,3,0.7081411703136808,0.14064697609002033,0.8487881464037011,1.1202695188565126,0.24233576642335086
ax_fixed,3,0.75,4,0.8733195957217154,0.022896019363486175,0.8962156150852015,1.4915121185359606,0.39912280701754577
