model,layer,selection,magnitude,model_seed,perturb_seed,dose,acc
ax_learned,1,long,0.1,3,1,1.03125,81.89579040329703
ax_learned,1,long,0.1,3,2,0.890625,82.09204199784124
ax_learned,1,long,0.25,3,0,2.78125,81.91541556275145
ax_learned,1,long,0.25,3,1,2.515625,81.89088411343342
ax_learned,1,long,0.25,3,2,2.7421875,81.70444509861643
ax_learned,1,long,0.5,3,0,5.53125,80.03630654499068
ax_learned,1,long,0.5,3,1,5.328125,80.48768521244236
ax_learned,1,long,0.5,3,2,5.171875,80.67903051712295
ax_learned,1,long,0.75,3,0,8.421875,79.41320773231283
ax_learned,1,long,0.75,3,1,7.734375,79.64380335590226
ax_learned,1,long,0.75,3,2,8.1015625,79.00107938376999
ax_learned,1,short,0.1,3,0,0.0,82.2539495633402
ax_learned,1,short,0.1,3,1,0.0,82.2539495633402
ax_learned,1,short,0.1,3,2,0.0,82.2539495633402
ax_learned,1,short,0.25,3,0,0.0859375,82.21960553429497
ax_learned,1,short,0.25,3,1,0.09375,82.03807280934157
ax_learned,1,short,0.25,3,2,0.078125,82.18526150524973
ax_learned,1,short,0.5,3,0,1.1015625,80.84584437248553
ax_learned,1,short,0.5,3,1,1.1484375,81.23834756157393
ax_learned,1,short,0.5,3,2,1.0859375,81.1058777352566
ax_learned,1,short,0.75,3,0,3.28125,77.23972132273575
ax_learned,1,short,0.75,3,1,3.046875,78.05907172995781
ax_learned,1,short,0.75,3,2,3.09375,76.3271514081052
ax_learned,2,random,0.0,3,0,0.0,82.2539495633402
ax_learned,2,random,0.1,3,0,1.2265625,81.70935138848003
ax_learned,2,random,0.1,3,1,0.984375,81.60141301148072
ax_learned,2,random,0.1,3,2,0.9453125,81.7780394465705
ax_learned,2,random,0.25,3,0,2.1171875,81.15003434402905
ax_learned,2,random,0.25,3,1,2.5859375,80.75753115494064
ax_learned,2,random,0.25,3,2,2.2890625,81.43950544598175
ax_learned,2,random,0.5,3,0,4.953125,78.89314100677068
ax_learned,2,random,0.5,3,1,5.234375,80.18840153076243
ax_learned,2,random,0.5,3,2,4.953125,78.97164164458836
ax_learned,2,random,0.75,3,0,7.328125,76.88156216269257
ax_learned,2,random,0.75,3,1,7.5390625,75.34589343538416
ax_learned,2,random,0.75,3,2,6.8828125,77.3869100186439
ax_learned,2,random,1.0,3,0,10.2109375,69.78706701991953
ax_learned,2,random,1.0,3,1,9.6484375,71.98999116867824
ax_learned,2,random,1.0,3,2,9.859375,69.85575507801
ax_learned,2,long,0.1,3,0,0.6875,81.89579040329703
ax_learned,2,long,0.1,3,1,0.671875,82.01354136002355
ax_learned,2,long,0.1,3,2,0.65625,81.8761652438426
ax_learned,2,long,0.25,3,0,1.8359375,81.56706898243549
ax_learned,2,long,0.25,3,1,1.984375,81.38062996761849
ax_learned,2,long,0.25,3,2,2.0390625,81.33647335884604
ax_learned,2,long,0.5,3,0,4.3203125,80.01177509567265
ax_learned,2,long,0.5,3,1,4.6484375,79.80080463153763
ax_learned,2,long,0.5,3,2,4.5859375,79.78608576194682
ax_learned,2,long,0.75,3,0,6.9453125,76.78834265528407
ax_learned,2,long,0.75,3,1,7.5,76.73927975664802
ax_learned,2,long,0.75,3,2,7.140625,75.70405259542734
ax_learned,2,short,0.1,3,0,0.0078125,82.10676086743204
ax_learned,2,short,0.1,3,1,0.0078125,82.20488666470415
ax_learned,2,short,0.1,3,2,0.0078125,82.21469924443136
ax_learned,2,short,0.25,3,0,0.2578125,82.03316651947797
ax_learned,2,short,0.25,3,1,0.3203125,81.90560298302424
ax_learned,2,short,0.25,3,2,0.34375,81.84672750466098
