model,type,condition,lam,seed,acc,firing_rate,spike_cost,delay_mean,delay_std,delay_max
syn_learned,synaptic,learned,1.7,2,83.35380835380835,0.13241303395014334,0.06656533250441918,6.921347141265869,5.634002208709717,39.0
syn_learned,synaptic,learned,3.0,0,82.03316953316953,0.10134878717495906,0.050719000972234286,6.881524562835693,5.568648338317871,38.0
syn_learned,synaptic,learned,3.0,1,84.68980343980344,0.10995694167178542,0.05581151536450936,6.865329265594482,5.624156951904297,44.0
syn_learned,synaptic,learned,3.0,2,80.63574938574939,0.10849518357135544,0.05463540768967225,6.941511631011963,5.621771335601807,43.0
syn_learned,synaptic,learned,5.0,0,81.54176904176904,0.08699479326627764,0.04403139636493646,6.91355562210083,5.591023921966553,37.0
syn_learned,synaptic,learned,5.0,1,81.58783783783784,0.08958886798730549,0.04568281182302879,6.917102813720703,5.599341869354248,42.0
syn_learned,synaptic,learned,5.0,2,81.72604422604422,0.08935686361076986,0.04536797980276438,6.950929164886475,5.631422996520996,41.0
syn_learned,synaptic,learned,10.0,0,78.60872235872236,0.07060375076781326,0.03603459407503788,6.9316511154174805,5.5691819190979,38.0
syn_learned,synaptic,learned,10.0,1,78.5933660933661,0.07091299715909091,0.03629636764526367,6.890265941619873,5.564521789550781,37.0
syn_learned,synaptic,learned,10.0,2,77.16523341523342,0.06986302051341114,0.03590591953924069,6.976963520050049,5.590388774871826,36.0
syn_learned,synaptic,learned,30.0,0,63.49815724815725,0.04702358146498772,0.024361486904896222,6.866131782531738,5.4832539558410645,34.0
syn_learned,synaptic,learned,30.0,1,73.5411547911548,0.05685665566134316,0.02960490356557644,6.817229747772217,5.5205230712890625,41.0
syn_learned,synaptic,learned,30.0,2,74.247542997543,0.05301612087940213,0.02746291386966522,6.9157938957214355,5.591495513916016,38.0
syn_fixed,synaptic,fixed,0.0,0,82.86240786240786,0.2767370895398239,0.13394255878833625,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,0.0,1,82.72420147420148,0.3106131676776208,0.1502930665245423,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,0.0,2,82.63206388206389,0.2945391632754914,0.1426092082491288,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,0.1,0,82.95454545454545,0.25654307272471333,0.12461151297275837,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,0.1,1,83.82985257985258,0.27727645276668716,0.13467093098622102,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,0.1,2,82.90847665847666,0.2673738722742629,0.1299639794115837,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,0.2,0,83.5995085995086,0.23420966101044227,0.11397433023040111,6.383615016937256,4.85123348236084,34.0
