model,type,condition,lam,acc_mean,acc_sem,firing_rate_mean,firing_rate_sem,spike_cost_mean,spike_cost_sem,delay_mean_mean,delay_mean_sem,delay_std_mean,delay_std_sem,delay_max_mean,delay_max_sem
syn_learned,synaptic,learned,0.5,84.76658476658477,0.4573200213798543,0.19338797231180047,0.001225174259819083,0.09526983447946036,0.0007223393425803196,6.869904359181722,0.03230920843641358,5.663854916890462,0.00837473678395759,39.333333333333336,0.7200822998230956
syn_learned,synaptic,learned,1.0,83.737714987715,0.502003493855261,0.1565771732314701,0.0028524756215859855,0.07795265288307117,0.001542545780988503,6.895488580067952,0.019808521476953826,5.650835990905762,0.008771770631618511,39.0,0.8164965809277261
syn_learned,synaptic,learned,1.7,84.18816543816543,0.3586295936385749,0.13113183460449085,0.001538781259976064,0.06586297338780685,0.0008148040631539315,6.899211724599202,0.023344792051124805,5.640542825063069,0.013590272018472417,38.333333333333336,0.5443310539518174
syn_learned,synaptic,learned,3.0,82.45290745290745,0.9707927469911106,0.10660030413936665,0.002171431018508744,0.05372197467547196,0.0012569094029453048,6.896121819814046,0.0189194088092959,5.604858875274658,0.01479357992366066,41.666666666666664,1.5153535218873173
syn_learned,synaptic,learned,5.0,81.61855036855037,0.04520762114213565,0.08864684162145099,0.0006766591680300713,0.04502739599690988,0.0004133309812874808,6.927195866902669,0.009725084598182148,5.607262929280599,0.010056271663676687,40.0,1.2472191289246473
syn_learned,synaptic,learned,10.0,78.12244062244064,0.3907949680867029,0.07045992281343844,0.0002543521615848428,0.036078960419847414,9.379494216173268e-05,6.932960192362468,0.02044180242243299,5.574697494506836,0.006499425811707938,37.0,0.47140452079103173
syn_learned,synaptic,learned,30.0,70.42895167895168,2.8343794012477663,0.052298786001911006,0.0023361061635220983,0.027143101446712628,0.0012427625641449717,6.866385142008464,0.023232022720122068,5.531757513682048,0.025921755108335078,37.666666666666664,1.6555182695279267
vanilla,none,vanilla,0.0,70.64905814905815,1.1011234278598807,0.3019109165984166,0.008503797226446067,0.14631755955708334,0.004096190788683774,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,0.1,71.4987714987715,0.6020143500405061,0.27136980339714717,0.006134884228325707,0.13197158152858415,0.0030262747610014483,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,0.2,70.24467649467648,1.3395955899366678,0.25137292103893666,0.003915267783846009,0.12279325637679833,0.0018996994413875638,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,0.3,69.13390663390663,2.1721743582986246,0.23036896786701475,0.003394453248916202,0.11275500699113576,0.0015497597710582892,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,0.5,69.27723177723179,2.3467840800007376,0.20482881123310812,0.006348277869659925,0.10077291593337671,0.0033213661008051807,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,1.0,64.53214578214578,2.4779462998068493,0.16629938265680452,0.0021410170632880938,0.08308849015679115,0.0012254503560327128,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,1.7,62.208230958230956,4.257948996289974,0.14371530337155336,0.0028640619003522266,0.07120290599190272,0.0008608617615869107,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,3.0,57.47850122850122,2.171740068185995,0.11516020957036582,0.0061803170827140165,0.05776299789356879,0.002856676398397817,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,5.0,51.91441441441441,2.4976832593005485,0.10215037462889025,0.003378729714118012,0.050822714964548744,0.0016911705967338913,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,10.0,54.77579852579853,3.0051321544601204,0.07706829485735735,0.0008390678993587673,0.039051993535115175,0.0006454829467272406,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,none,vanilla,30.0,47.6965601965602,1.4022960208643245,0.05705165143837019,0.006241689670259236,0.029005032176008593,0.0032850143355907593,0.0,0.0,0.0,0.0,0.0,0.0
